field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000],[1999],[2014],[2013],[2012]
.. Quỹ khác thuộc vốn chủ sở hữu__1,,,,,,,,12332000000.0,6682000000.0,2535000000.0,545000000.0,,,,,,,,,,12332000000.0,12332000000.0,12332000000.0
.. Lợi nhuận sau thuế chưa phân phối__1,,,,,,,,180465108130.0,267501746805.0,152053019385.0,80840819979.0,77048333213.0,16989209866.0,,,,,,,,193786240662.0,185941919896.0,241575719629.0
.. Nguồn vốn đầu tư XDCB__1,,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ dự trữ vốn điều lệ__1,,,,,,,,,,,,,,,,,,,,,,,
. Nguồn kinh phí và các quỹ khác__1,,,,,,,,11457143.0,11457143.0,632946521.0,835977859.0,407302277.0,984572370.0,,,,,,,,,11457143.0,11457143.0
.. Quỹ khen thưởng phúc lợi__2,,,,,,,,,,621489378.0,824520716.0,395845134.0,973115227.0,,,,,,,,,,
.. Nguồn kinh phí__1,,,,,,,,11457143.0,11457143.0,11457143.0,11457143.0,11457143.0,11457143.0,,,,,,,,,11457143.0,11457143.0
.. Nguồn kinh phí đã hình thành TSCĐ__1,,,,,,,,,,,,,,,,,,,,,,,
III - LỢI ÍCH CỦA CỔ ĐÔNG THIỂU SỐ__1,,,,,,,,189379914406.0,192727620350.0,185207437662.0,194629458031.0,74615015578.0,44696340441.0,,,,,,,,,85980192168.0,86822531817.0
Tổng cộng nguồn vốn__1,,,,,,,3362042885945.0,4294130962902.0,3843876569725.0,3024610959340.0,2470275072458.0,2475844102663.0,1445869922266.0,,,,,,,,3237056216107.0,3439643813009.0,3570507860102.0
.. Chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng giảm giá chứng khoán kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,
.. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,43500000000.0,,,,,,,,,,,,,,,,
. Phải thu về cho vay ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản thiếu chờ xử lý__1,,,,,,,,,,,,,,,,,,,,,,,
. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,,
. Trả trước cho người bán dài hạn__1,,,,,,,7776783885.0,,,,,,,,,,,,,,,,
.. Phải thu nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,
. Phải thu về cho vay dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,
. Tài sản dở dang dài hạn__1,,,,,,,439962189782.0,,,,,,,,,,,,,,,,
". Chi phí sản xuất, kinh doanh dở dang dài hạn__1",,,,,,,,,,,,,,,,,,,,,,,
. Chi phí xây dựng cơ bản dở dang__1,,,,,,,439962189782.0,,,,,,,,,,,,,,,,
. Đầu tư tài chính dài hạn__1,,,,,,,212571499411.0,,,,,,,,,,,,,,,,
. Đầu tư góp vốn vào đơn vị khác__1,,,,,,,3135455455.0,,,,,,,,,,,,,,,,
. Đầu tư nắm giữ đến ngày đáo hạn__1,,,,,,,,,,,,,,,,,,,,,,,
". Thiết bị, vật tư, phụ tùng thay thế dài hạn__1",,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả người bán ngắn hạn__1,,,,,,,13147110994.0,,,,,,,,,,,,,,,,
.. Người mua trả tiền trước ngắn hạn__1,,,,,,,124227686529.0,,,,,,,,,,,,,,,,
.. Chi phí phải trả ngắn hạn__1,,,,,,,23550996794.0,,,,,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,,,,,,,2453135806.0,,,,,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,,,,,,,102037062752.0,,,,,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,,,,,,,101226731058.0,,,,,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",,,,,,,4529835436.0,,,,,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,82010966094.0,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,106699017156.0,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,,,,,,,208197967911.0,,,,,,,,,,,,,,,,
. Vay và nợ thuê tài chính dài hạn__1,,,,,,,356133554567.0,,,,,,,,,,,,,,,,
. Trái phiếu chuyển đổi__1,,,,,,,,,,,,,,,,,,,,,,,
. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học và công nghệ__1,,,,,,,,,,,,,,,,,,,,,,,
I. Vốn chủ sở hữu__1,,,,,,,2025178020052.0,,,,,,,,,,,,,,,,
. Vốn góp của chủ sở hữu__1,,,,,,,867201440000.0,,,,,,,,,,,,,,,,
- Cổ phiếu phổ thông có quyền biểu quyết__1,,,,,,,867201440000.0,,,,,,,,,,,,,,,,
- Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,,,
. Thặng dư vốn cổ phần__1,,,,,,,610750058000.0,,,,,,,,,,,,,,,,
. Quyền chọn chuyển đổi trái phiếu__1,,,,,,,,,,,,,,,,,,,,,,,
. Vốn khác của chủ sở hữu__1,,,,,,,,,,,,,,,,,,,,,,,
. Cổ phiếu quỹ (*)__1,,,,,,,,,,,,,,,,,,,,,,,
. Chênh lệch đánh giá lại tài sản__1,,,,,,,,,,,,,,,,,,,,,,,
. Chênh lệch tỷ giá hối đoái__1,,,,,,,,,,,,,,,,,,,,,,,
. Quỹ đầu tư phát triển__1,,,,,,,250735326206.0,,,,,,,,,,,,,,,,
. Quỹ hỗ trợ sắp xếp doanh nghiệp__1,,,,,,,,,,,,,,,,,,,,,,,
. Quỹ khác thuộc vốn chủ sở hữu__1,,,,,,,12332000000.0,,,,,,,,,,,,,,,,
. Lợi nhuận sau thuế chưa phân phối__1,,,,,,,284159195846.0,,,,,,,,,,,,,,,,
- LNST chưa phân phối lũy kế đến cuối kỳ trước__1,,,,,,,104380579746.0,,,,,,,,,,,,,,,,
- LNST chưa phân phối kỳ này__1,,,,,,,179778616100.0,,,,,,,,,,,,,,,,
. Nguồn vốn đầu tư XDCB__1,,,,,,,,,,,,,,,,,,,,,,,
. Lợi ích cổ đông không kiểm soát__1,,,,,,,,,,,,,,,,,,,,,,,
. Phụ trội hợp nhất công ty con__1,,,,,,,,,,,,,,,,,,,,,,,
I. LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG KINH DOANH__1,,,,,,,,,,,,,,,,,,,,,,,
Lợi nhuận (lỗ) trước thuế__1,,,,,,39715481616.0,365040106403.0,,,247857096662.0,183683760697.0,97629919322.0,,,,,,,,,97194791395.0,96521621341.0,259379358178.0
Điều chỉnh cho các khoản:__1,,,,,,,,,,,,,,,,,,,,,,,
Khấu hao tài sản cố định__1,,,,,,6831600440.0,7140960377.0,9897151501.0,,12695674260.0,11768926163.0,11222382284.0,,,,,,,,,7530776023.0,8515770896.0,9459641238.0
Các khoản dự phòng__1,,,,,,2062772306.0,2245553178.0,739658242.0,,-33358737435.0,32002528341.0,7601836899.0,,,,,,,,,-4272525359.0,56043706.0,-763630506.0
"Lãi, lỗ từ đầu tư vào công ty liên kết__1",,,,,,,,,,,,,,,,,,,,,,,
(Lãi) lỗ chênh lệch tỷ giá hối đoái chưa thực hiện__1,,,,,,,,7851306628.0,,3947580001.0,3939390000.0,16380000.0,,,,,,,,,1187563650.0,1053131807.0,
(Lãi)/lỗ từ hoạt động đầu tư/thanh lý tài sản cố định__1,,,,,,-28443316207.0,-35593765904.0,-57345826231.0,,-17953848767.0,-31852385721.0,-7672880999.0,,,,,,,,,-41502029985.0,-57168096167.0,-506962867057.0
Chi phí lãi vay__1,,,,,,11800471559.0,11300633192.0,7176388885.0,,7421491152.0,1549610839.0,,,,,,,,,,7122431812.0,32609928082.0,76886804921.0
