field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003],[2002],[2001],[2000]
Tổng cộng nguồn vốn__1,1786012429435.0,2003613451374.0,,1590547655319.0,1244420580238.0,1375057627376.0,1105782624479.0,1114028385137.0,,834244482684.0,720089893616.0,822882471837.0,766185868878.0,567961185602.0,423296720592.0,453594000959.0,,,,,,
.. Đầu tư ngắn hạn__1,,,,,,,,5000000000.0,,12000000000.0,22500000000.0,205500000000.0,198926720000.0,57935000000.0,40000000000.0,15000000000.0,,,,,,
.. Dự phòng giảm giá đầu tư ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải thu dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,,
.. Chi phí xây dựng cơ bản dở dang__1,,,,,,,,43507049476.0,,686237160.0,262969547381.0,189231764911.0,142335925690.0,163255198521.0,89309108346.0,772905122.0,,,,,,
. Các khoản đầu tư tài chính dài hạn__1,,,,,,,,144992912534.0,,156274283732.0,176654391439.0,184026214733.0,186764200871.0,99632310269.0,63518876610.0,159951707785.0,,,,,,
. Đầu tư dài hạn khác__1,,,,,,,,68278309000.0,,68278309000.0,68278309000.0,68278309000.0,68278309000.0,68468478994.0,41570217994.0,138451707785.0,,,,,,
.. Vay và nợ ngắn hạn__1,,,,,,,,5751872337.0,,3135338325.0,5575566712.0,79030000000.0,,,,14940000000.0,,,,,,
.. Phải trả người bán__1,,,,,,,,13022314296.0,,18596532559.0,23701322953.0,17264369788.0,13774986770.0,9771842420.0,8588457665.0,10979323009.0,,,,,,
.. Người mua trả tiền trước__1,,,,,,,,158638061122.0,,93647637775.0,32944570043.0,23790890829.0,337244115502.0,227489485067.0,242336013866.0,266711301166.0,,,,,,
.. Chi phí phải trả__1,,,,,,,,58183539827.0,,70304426013.0,71164910649.0,38311344365.0,3890000000.0,,,,,,,,,
.. Phải trả nội bộ__1,,,,,,,,,,,,,,,,,,,,,,
".. Các khoản phải trả, phải nộp ngắn hạn khác__1",,,,,,,,36026967752.0,,23102234929.0,16803374729.0,29219149928.0,56389236211.0,16030141023.0,12439725335.0,49814504933.0,,,,,,
.. Quỹ khen thưởng phúc lợi__1,,,,,,,,,,,,10417417761.0,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu chính phủ__2,,,,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện__1,,,,,,,,,,,,,,,,,,,,,,
. Quỹ thưởng ban quản lý điều hành công ty__1,,,,,,,,,,,,,,,,,,,,,,
.. Phải trả dài hạn nội bộ__1,,,,,,,,,,,,,,,,,,,,,,
.. Vay và nợ dài hạn__1,,,,,,,,,,,,,46400000000.0,,,1155000000.0,,,,,,
.. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,3708500456.0,,,,,,,,,,,,
