field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2003]
.. Người mua trả tiền trước ngắn hạn__1,58993445333.0,12927966240.0,,28198297405.0,20708930580.0,5561591468.0,17457223687.0,,,,,,,,,,,,
.. Chi phí phải trả ngắn hạn__1,140814237747.0,191160023921.0,,888121886480.0,923724169842.0,1311779052093.0,2242472446530.0,,,,,,,,,,,,
.. Phải trả nội bộ ngắn hạn__1,,,,,,,,,,,,,,,,,,,
.. Doanh thu chưa thực hiện ngắn hạn__1,2771787054.0,4205161877.0,,9234846317.0,19356201136.0,21352975301.0,19823869779.0,,,,,,,,,,,,
.. Phải trả ngắn hạn khác__1,1196845378311.0,1172275047674.0,,3869475488801.0,3538730693897.0,3327275989144.0,1567013890045.0,,,,,,,,,,,,
.. Vay và nợ thuê tài chính ngắn hạn__1,362423564971.0,247880046877.0,,150932824856.0,148235246033.0,262660987242.0,307816114542.0,,,,,,,,,,,,
". Quỹ khen thưởng, phúc lợi__1",376044956354.0,567672534876.0,,431547394680.0,259077279720.0,682554610154.0,562249811509.0,,,,,,,,,,,,
.. Quỹ bình ổn giá__1,,,,,,,,,,,,,,,,,,,
.. Giao dịch mua bán lại trái phiếu Chính phủ__1,,,,,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,,,,,,,,,,,,,,,,,,,
. Vay và nợ thuê tài chính dài hạn__1,13565918596579.0,15345303220047.0,,15043360671290.0,14327552422929.0,13964208272299.0,13118821693739.0,,,,,,,,,,,,
. Trái phiếu chuyển đổi__1,,,,,,,,,,,,,,,,,,,
