field,[2021],[2020],[2018],[2017],[2016],[2013],[2009],[2008],[2007],[2006],[2005],[2004],[2002],[2001],[2000],[1999],[1998],[1997],[1995],[1994],[2019],[2015],[2014],[2012],[2011],[2010],[2003]
.. Phải trả dài hạn người bán__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Người mua trả tiền trước dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Chi phí phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Phải trả nội bộ về vốn kinh doanh__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Phải trả dài hạn nội bộ dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Doanh thu chưa thực hiện dài hạn__1,93000017.0,48000000.0,95863637.0,125863640.0,163090911.0,,,,,,,,,,,,,,,,35545455.0,,,,,,
.. Phải trả dài hạn khác__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Vay và nợ thuê tài chính dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Trái phiếu chuyển đổi__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
. Thuế thu nhập hoãn lại phải trả__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Dự phòng phải trả dài hạn__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
.. Quỹ phát triển khoa học và công nghệ__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
II - VỐN CHỦ SỞ HỮU__1,10132461091.0,10088884275.0,10676535753.0,10765982751.0,10795235249.0,10608260341.0,10088888745.0,,,,,,,,,,,,,,10333002512.0,10884303248.0,10981533780.0,10621073647.0,10403526173.0,10313801920.0,
I. Vốn chủ sở hữu__1,10132461091.0,10088884275.0,10676535753.0,10765982751.0,10795235249.0,,,,,,,,,,,,,,,,10333002512.0,10884303248.0,,,,,
. Vốn góp của chủ sở hữu__1,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,,,,,,,,,,,,,,,,10000000000.0,10000000000.0,,,,,
- Cổ phiếu phổ thông có quyền biểu quyết__1,10000000000.0,10000000000.0,10000000000.0,10000000000.0,10000000000.0,,,,,,,,,,,,,,,,10000000000.0,10000000000.0,,,,,
- Cổ phiếu ưu đãi__1,,,,,,,,,,,,,,,,,,,,,,,,,,,
