field,[2021],[2020],[2019],[2018],[2017],[2016],[2015],[2014],[2013],[2012],[2011],[2010],[2009],[2008],[2007],[2006],[2005],[2004],[2002],[2001],[2003],[2000],[1999]
(Tăng) giảm các khoản phải thu__1,3175191869.0,-5197512117.0,-3622958725.0,-33446054.0,-769500497.0,-341389743.0,13625163587.0,-12453247247.0,,,,,,,,,,,,,,,
"Tăng, giảm chứng khoán tự doanh__1",,,,,,,,,,,,,,,,,,,,,,,
(Tăng) giảm hàng tồn kho__1,372236146.0,-1442579032.0,-370275188.0,37212215.0,2204257216.0,-783157596.0,-111248954.0,-1255878997.0,,,,,,,,,,,,,,,
"Tăng/(giảm) các khoản phải trả (không bao gồm lãi vay, thuế thu nhập doanh nghiệp phải trả)__1",-9438190274.0,-7600724094.0,-2002487540.0,-4083967659.0,-2630631971.0,-4755173556.0,-14828820292.0,12993346098.0,,,,,,,,,,,,,,,
(Tăng) giảm chi phí trả trước__1,-237134005.0,-64184448.0,-84815259.0,73996550.0,-79050362.0,-36665.0,19684991.0,96991137.0,,,,,,,,,,,,,,,
Tiền lãi vay đã trả__1,,,,,,,-4515667.0,,,,,,,,,,,,,,,,
Thuế thu nhập doanh nghiệp đã nộp__1,-1250930596.0,-645606563.0,-418067838.0,-457447085.0,-402817308.0,-208742410.0,-337063259.0,-222893035.0,,,,,,,,,,,,,,,
Tiền thu khác từ hoạt động kinh doanh__1,,,4800000.0,-63532000.0,-8500000.0,,,,,,,,,,,,,,,,,,
Tiền chi khác cho hoạt động kinh doanh__1,-1776941000.0,-3500000.0,-65519000.0,,,,,,,,,,,,,,,,,,,,
Tăng tài sản ngắn hạn khác__1,,,,,,,,,,,,,,,,,,,,,,,
Chênh lệch tỷ giá trong giai đoạn đầu tư__1,,,,,,,,,,,,,,,,,,,,,,,
Lưu chuyển tiền thuần từ hoạt động kinh doanh__1,-9018888005.0,-14577526073.0,-9515352039.0,-7937100458.0,-6089613318.0,-10007154556.0,-5971233839.0,-4765214055.0,,,,,,,,,,,,,,,
II. LƯU CHUYỂN TIỀN TỪ HOẠT ĐỘNG ĐẦU TƯ__1,,,,,,,,,,,,,,,,,,,,,,,
"Tiền chi để mua sắm, xây dựng tài sản cố định__1",-304537636.0,-60000000.0,,-87905000.0,,,,-160621048.0,,,,,,,,,,,,,,,
"Tiền thu do thanh lý, nhượng bán TSCĐ và các tài sản dài hạn khác__1",,,,,,,,72000000.0,,,,,,,,,,,,,,,
"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác__1",-219160000000.0,-94700000000.0,-64430000000.0,-75200000000.0,-82183000000.0,-25178000000.0,-83500000000.0,-100934700000.0,,,,,,,,,,,,,,,
"Tiền thu hồi cho vay, bán lại công cụ nợ của đơn vị khác__1",119700000000.0,69330000000.0,68300000000.0,77683000000.0,79678000000.0,31800000000.0,81700000000.0,60934700000.0,,,,,,,,,,,,,,,
Tiền chi đầu tư góp vốn vào đơn vị khác__1,,,,,,,,,,,,,,,,,,,,,,,
Tiền thu do bán các khoản đầu tư góp vốn vào đơn vị khác__1,,,,,,,,3553570000.0,,,,,,,,,,,,,,,
"Tiền thu lãi cho vay, cổ tức và lợi nhuận được chia__1",169673825116.0,55006940638.0,6462610611.0,5792781455.0,8794492404.0,2925922034.0,6112594508.0,4012319773.0,,,,,,,,,,,,,,,
Tiền đầu tư xây dựng nhà xưởng__1,,,,,,,,,,,,,,,,,,,,,,,
. Tăng lợi ích của cổ đông thiếu số khi hợp nhất công ty con__1,,,,,,,,,,,,,,,,,,,,,,,
. Loại trừ lợi ích của cổ đông thiểu số khi thanh lý công ty con__1,,,,,,,,,,,,,,,,,,,,,,,
. Tiền mặt tại công ty con mua trong năm__1,,,,,,,,,,,,,,,,,,,,,,,
. Tiền thu do nhượng bán các khoản đầu tư vào công ty con__1,,,,,,,,,,,,,,,,,,,,,,,
. Tiền chi gửi ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,
. Tiền thu lãi từ gửi ngắn hạn__1,,,,,,,,,,,,,,,,,,,,,,,
